make of transport	2008	2009	2010	2011	2012	2013	2014	2015	2016	
S	0	0	0	0	0	0	0	0	0
Saab	41886	41320	40293	39199	37754	35531	33225	30802	28284
Sachs	0	0	0	0	0	0	0	0	0
Safari	0	0	0	0	0	0	0	0	0
Sahlins Sweden	0	0	0	0	0	0	0	0	0
Sailboat Deliveries Ltd	0	0	0	0	0	0	0	0	0
Sailboat Trailers	0	0	0	0	0	0	0	0	0
Sam	0	0	0	0	0	0	0	0	0
Same	0	0	0	0	0	0	0	0	0
Sami	0	0	0	0	0	0	0	0	0
San Yang	0	0	0	0	0	0	0	0	0
Sanben	0	0	0	0	0	0	0	0	0
Sand Trailers	0	0	0	0	0	0	0	0	0
Sand Trailers	0	0	0	0	0	0	0	0	0
Sandnes Gjerdeservice	0	0	0	0	0	0	0	0	0
Sandnæs Mask.Fabr. A/S	0	0	0	0	0	0	0	0	0
Sanili	0	0	0	0	0	0	0	0	0
Santana	1	1	1	1	1	1	1	1	1
Saris	0	0	0	0	0	0	0	0	0
Saturn	0	0	0	0	0	0	0	0	1
Savsjø	0	0	0	0	0	0	0	0	0
Savsjøslapet	0	0	0	0	0	0	0	0	0
Saxon	0	0	0	0	0	0	0	0	0
Saxonette	0	0	0	0	0	0	0	0	0
Saxxs	0	0	0	0	0	0	0	0	0
Sbarro	0	0	0	0	0	0	0	0	0
SBS Trailers	0	0	0	0	0	0	0	0	0
Scania	14	23	33	44	58	62	68	74	78
Scanvogn	0	0	0	0	0	0	0	0	0
Schanzlin	0	0	0	0	0	0	0	0	0
Schilter	0	0	0	0	0	0	0	0	0
Schmitz Cargobull	0	0	0	0	0	0	0	0	0
Schrader	0	0	0	0	0	0	0	0	0
Schulz	41	31	27	27	19	17	16	15	15
Schuring	0	0	0	0	0	0	0	0	0
Schwarzmuller	0	0	0	0	0	0	0	0	0
Schweikert	0	0	0	0	0	0	0	0	0
Schweriner	0	0	0	0	0	0	0	0	0
Schøyen Karosseri	0	0	0	0	0	0	0	0	0
Scorpa	0	0	0	0	0	0	0	0	0
Scott	0	0	0	0	0	0	0	0	0
Screen-Led	0	0	0	0	0	0	0	0	0
Sdv Co. Ltd (Mev)	0	0	0	0	0	0	0	0	0
SEA	0	0	0	2	2	4	4	4	3
Seac	0	0	0	0	0	0	0	0	0
Seat	8896	8419	7854	7171	6392	5573	4711	3926	3247
Secma	0	0	0	1	1	1	1	0	1
Seestern	0	0	0	0	0	0	0	0	0
Seeyes	0	0	0	0	0	0	0	0	0
Seico	0	0	0	0	0	0	0	0	0
Selandia	0	0	0	0	0	0	0	0	0
Selective Trailers	0	0	0	0	0	0	0	0	0
Seriemontasje A/S	0	0	0	0	0	0	0	0	0
Setra	7	7	8	9	12	12	15	14	15
SFM	0	0	0	0	0	0	0	0	0
Sf-Motor	0	0	0	0	0	0	0	0	0
She Lung	0	0	0	0	0	0	0	0	0
Shengqibao	0	0	0	0	0	0	0	0	0
Shenke	0	0	0	0	0	0	0	0	0
Sherco	0	0	0	0	0	0	0	0	0
Shibaura	0	0	0	0	0	0	0	0	0
Shineray	0	0	0	0	0	0	0	0	0
Siamoto	0	0	0	0	0	0	0	0	0
